text,emotion
water aquatic_vertebrate helping liquid body_covering via diffusion water aquatic_vertebrate helping liquid rima percoid_fish military_personnel hominid state,happy
deliberation everyone necessity activity newspaper change_state penetrate every time_unit being,neutral
agree google office natural_elevation orientation california appellation google alex,neutral
thats joke electrical_phenomenon corporate_executive rest_day ficha didnt knowing larry leaf regenerate,neutral
oh yeah not knowing either also poverty shift google alex seat bovid line field consumption,surprised
opportunity,surprised
yeah apparently lol instead employee group line,happy
thats joke opinion imaginative time_off huge school institution state actual bovid,surprised
yeah exactly sure cheap digit situation gamble not accomplishment aquatic_vertebrate deliberation aquatic_vertebrate coldness actually variety siphonophore celebrity,surprised
remember proceeding permanence material siphonophore haha knowing restaurant aquatic_vertebrate actual external_body_part,neutral
joke opinion never think restaurant aquatic_vertebrate achromatic_color taste aquatic_vertebrate sound_property large_indefinite_quantity kind diapsid eat commune size,surprised
opinion be language_unit,surprised
be also not knowing quality water water aquatic_vertebrate helping,surprised
thats lunatic astonishment fresh liquid digit activity diffusion,neutral
negative would emotion regular_payment hourly endowment adorable feline im,happy
yeah would large_indefinite_quantity diversion not know feline physical_condition large_indefinite_quantity necessity nice,surprised
opinion thats construction feline time_period liquid_body_substance,happy
oh yeah opinion angular_distance angular_distance day municipality alaska civil_authority feline,surprised
greeting kind art,neutral
emotion art large_indefinite_quantity,happy
really quality advantage case,neutral
art large_indefinite_quantity diversion knowing bruce lee achiever performer,happy
perceive victory cha cha high_status everything,surprised
affirmative surprise hong kong cha cha high_status body_part 1958 information,surprised
always deliberation martial creation story art story category,neutral
yeah rodent sovereign compound_lever thats pretty coldness would definitely never opinion,neutral
neither insane message famous singer,surprised
indeed auditory_communication day room legislature,neutral
not knowing acknowledgment assets,surprised
joke surprise liquid_body_substance talented musician performer not day art kind day imagination,surprised
neither could never adult performer,neutral
perceive adult stage_dancing performer shift digit set footwear time_period,surprised
lunatic not cheap,surprised
negative deliberation expensive adult stage_dancing performer military_installation,neutral
achiever converse necessity shift return metallic_element shift return bruce lee martial creation relation definitely not art,neutral
angular_distance angular_distance nice conversation excavation nice time_unit concession,happy
concession,neutral
affirmative return activity advantage nice conversation,happy
affirmative google activity income reason quality move traveler small_indefinite_quantity moon,surprised
google moon activity activity dairy_product end increase,surprised
knowing google representation reason collection,surprised
curiosity google really income natural_object collection area physical_phenomenon activity proportion worldwide physical_phenomenon,surprised
google motorboat gmail language_unit people electronic_communication work speech_act facility computer actually be diversion,surprised
communicate feline would emotion return good_health illumination digit south korea,happy
be diversion reminds anderson building bedroom_furniture meal minnesota activity speech_act people feline time_period publication area,surprised
joke municipality alaska civil_authority municipality feline,surprised
coldness feline pretty pain currency not feline currency inaction time_period,surprised
indeed pain academician nice conversation,happy
kind performer publication,happy
not perceive knowing performer publication story stan lee activity extremity every electronic_equipment speech packing_material,happy
publication present size performer publication activity japan accept male_offspring emotion publication manga,happy
manga activity japan numerical_quantity digit digit large_integer monetary_unit,happy
